TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709624053	28.39	20.11	4.45	4.43	4.60	4.41
1709624054	28.54	20.10	4.45	4.43	4.60	4.41
1709624055	28.38	20.11	4.45	4.43	4.60	4.41
1709624056	28.31	20.11	4.45	4.43	4.60	4.41
1709624057	28.41	20.13	4.45	4.43	4.60	4.41
1709624058	28.49	20.12	4.45	4.43	4.60	4.41
1709624059	28.39	20.10	4.45	4.43	4.60	4.41
1709624060	28.45	20.12	4.45	4.43	4.61	4.41
1709624061	28.40	20.12	4.45	4.43	4.61	4.41
1709624062	28.41	20.11	4.45	4.43	4.61	4.41
1709624063	28.46	20.12	4.45	4.43	4.61	4.41
1709624064	28.48	20.11	4.45	4.43	4.60	4.41
1709624065	28.44	20.12	4.45	4.43	4.60	4.41
1709624066	28.34	20.11	4.45	4.43	4.60	4.41
1709624067	28.44	20.12	4.45	4.43	4.60	4.41
1709624068	28.38	20.12	4.45	4.43	4.60	4.41
1709624069	28.38	20.11	4.45	4.43	4.60	4.41
1709624070	28.43	20.12	4.45	4.43	4.60	4.41
1709624071	28.50	20.12	4.45	4.43	4.60	4.41
1709624072	28.32	20.10	4.45	4.43	4.60	4.41
1709624073	28.40	20.11	4.45	4.43	4.60	4.41
1709624074	28.47	20.12	4.45	4.43	4.60	4.41
1709624075	28.51	20.11	4.45	4.43	4.60	4.41
1709624076	28.38	20.10	4.45	4.43	4.60	4.41
1709624077	28.42	20.11	4.45	4.43	4.60	4.41
1709624078	28.69	20.08	4.45	4.43	4.60	4.41
1709624079	28.63	20.11	4.45	4.43	4.60	4.41
1709624080	28.49	20.11	4.45	4.43	4.61	4.41
1709624081	28.51	20.11	4.45	4.43	4.60	4.41
1709624082	28.33	20.10	4.45	4.43	4.60	4.41
1709624083	28.41	20.09	4.45	4.43	4.60	4.41
1709624084	28.44	20.11	4.45	4.43	4.60	4.41
1709624085	28.54	20.12	4.45	4.43	4.60	4.41
1709624086	28.46	20.10	4.45	4.43	4.60	4.41
1709624087	28.46	20.12	4.45	4.43	4.60	4.41
1709624088	28.34	20.12	4.45	4.43	4.60	4.41
1709624089	28.28	20.11	4.45	4.43	4.60	4.41
1709624090	28.42	20.12	4.45	4.43	4.60	4.41
1709624091	28.42	20.13	4.45	4.43	4.60	4.41
1709624092	28.41	20.12	4.45	4.43	4.60	4.41
1709624093	28.37	20.11	4.45	4.43	4.60	4.41
